bc,co,date,location,no2,o3,pm10,pm25,so2
"",0.0996,2022-04-29,Blaine,0.0034,0.0311,15.2222,8.2222,0.001
"","",2022-04-29,Taos Fire Station,"","","",10.3277,""
"","",2022-04-29,Salem - State Hospit,"","","",2.6288,""
"","",2022-04-29,Burbank-Maple Street,"","",7.0686,"",""
"","",2022-04-29,San Diego - Sherman,"",0.0448,"",14.2105,""
"","",2022-04-29,Muscogee (Creek) Nat,"",0.0335,14.4519,7.6683,""
"",0.2129,2022-04-29,DCNearRoad,0.0074,"","",5.1111,""
"","",2022-04-29,Saguaro Monument,"",0.0544,"","",""
"","",2022-04-29,San Diego - Kearny V,"",0.0484,"","",""
"","",2022-04-29,Kooker Park,0.016,"",36.2024,11.9786,0.001
"","",2022-04-29,Athens,"",0.04,25.5049,13.8971,""
"","",2022-04-29,Boundary County,"","","",6.3202,""
"","",2022-04-29,Turner - CJHS,"","","",2.7544,""
"","",2022-04-29,Laramie I-80 Mobile,0.0093,0.0416,28.2154,7.7538,1.0E-4
"","",2022-04-29,Beaver Falls,"",0.0307,"",8.7218,""
"","",2022-04-29,Harrisburg,"",0.0271,"",4.9689,""
"","",2022-04-29,King Greenleaf Rec C,"","","",5.1,""
"",0.1712,2022-04-29,Eastwood,0.0133,0.0351,"",10.6019,""
"","",2022-04-29,Mountain View,"","","",2.9333,0.0
"",0.1476,2022-04-29,Essex,0.0129,0.0339,"","",1.0E-4
"","",2022-04-29,Notre Dame,"",0.0427,"","",""
"","",2022-04-29,Kennewick-Metaline,"","",8.9804,2.6539,""
"","",2022-04-29,Chelan-Woodin Ave,"","","",3.3837,""
"","",2022-04-29,PittsfieldES,"",0.0447,"",4.28,""
"","",2022-04-29,Chiricahua NM,"",0.0526,"","",""
"",0.1798,2022-04-29,Mesa - Brooks Reserv,"",0.0379,28.1263,9.3295,""
"","",2022-04-29,El Rio - Rio Mesa Sc,"",0.0301,33.888,11.36,""
"",0.186,2022-04-29,NCORE,"",0.0373,15.0464,6.9268,4.0E-4
"",0.2469,2022-04-29,Camden Spruce St,0.0042,0.0436,"",4.5835,0.0
"","",2022-04-29,Buffalo Near-road,"","","",5.9279,""
"","",2022-04-29,Raymond-4th St,"","","",3.1716,""
"","",2022-04-29,LENOIR,"",0.0377,"","",0.0
"","",2022-04-29,Lancaster,"",0.0386,"",5.348,""
"","",2022-04-29,Fresno - Sierra Skyp,"",0.0365,"","",""
"",0.1863,2022-04-29,Mira Loma - Van Bure,0.0077,0.0392,49.4907,16.6463,""
"","",2022-04-29,PECK,0.0019,0.0325,23.704,9.3984,9.0E-4
"","",2022-04-29,Missoula Boyd Park,"",0.0435,13.9612,2.0845,""
"","",2022-04-29,Navajo Lake,0.0038,0.0537,"","",""
"","",2022-04-29,Wilgus,"",0.032,"","",""
"",0.1711,2022-04-29,Utah Tech. Center,0.0037,0.0468,"",6.3567,1.0E-4
"","",2022-04-29,"Emmetsburg, ILCC","",0.0259,"",13.0737,""
"","",2022-04-29,Erda,0.0016,0.0481,"",5.412,""
"","",2022-04-29,DEARBORN,"","",20.5,6.8,""
"","",2022-04-29,Hayward,"",0.0386,"","",""
"",0.2998,2022-04-29,Indpls - I-70 E,0.0042,0.0359,"",8.0388,""
"","",2022-04-29,HAZ2,"",0.0446,"",8.7672,""
"","",2022-04-29,Ely,"",0.0423,"",6.3095,""
"","",2022-04-29,Chester,0.0,0.043,"",6.1032,1.0E-4
"","",2022-04-29,Dunkirk,"",0.0285,"","",""
"","",2022-04-29,Clemmons Middle,"",0.0388,"",8.2248,""
"",0.1631,2022-04-29,Preble NCore,"",0.0279,"",8.634,7.0E-4
"",0.1443,2022-04-29,STILWELL CASTNET & N,"",0.0394,19.2404,9.6827,3.0E-4
"","",2022-04-29,MANITOWOC,"",0.0463,"","",""
"","",2022-04-29,Tahoe City,"",0.0486,"",4.4605,""
